gene,name,p_val,p_val_adj,pct_1,pct_2,pct_diff,avg_log2FC,clusterName,celltype_id,species,tissue,dataset
MtrunA17Chr1g0186641,MtrunA17Chr1g0186641,0.0,0.0,0.76,0.034,0.726,4.65923224426289,Pericycle,medicago_truncatula->PO:0009005->PO:0020124->PO:0006203,medicago_truncatula,Root,SRP390780
MtrunA17Chr1g0187381,MtPHO1.2,0.0,0.0,0.756,0.098,0.658,4.23736666520033,Pericycle,medicago_truncatula->PO:0009005->PO:0020124->PO:0006203,medicago_truncatula,Root,SRP390780
MtrunA17Chr3g0136151,MtrunA17Chr3g0136151,0.0,0.0,0.447,0.018,0.429,4.21749074907239,Pericycle,medicago_truncatula->PO:0009005->PO:0020124->PO:0006203,medicago_truncatula,Root,SRP390780
MtrunA17Chr4g0021641,MtrunA17Chr4g0021641,0.0,0.0,0.628,0.034,0.594,4.2000203519685,Pericycle,medicago_truncatula->PO:0009005->PO:0020124->PO:0006203,medicago_truncatula,Root,SRP390780
MtrunA17Chr4g0063591,MtNPF6.4,0.0,0.0,0.588,0.04,0.548,3.87010297435275,Pericycle,medicago_truncatula->PO:0009005->PO:0020124->PO:0006203,medicago_truncatula,Root,SRP390780
MtrunA17Chr4g0030881,MtMYB122,0.0,0.0,0.937,0.315,0.622,3.65070349845035,Pericycle,medicago_truncatula->PO:0009005->PO:0020124->PO:0006203,medicago_truncatula,Root,SRP390780
MtrunA17Chr1g0206601,MtrunA17Chr1g0206601,0.0,0.0,0.418,0.022,0.396,3.63224593720934,Pericycle,medicago_truncatula->PO:0009005->PO:0020124->PO:0006203,medicago_truncatula,Root,SRP390780
MtrunA17Chr5g0405701,MtHK1,0.0,0.0,0.591,0.032,0.559,3.58074136796591,Pericycle,medicago_truncatula->PO:0009005->PO:0020124->PO:0006203,medicago_truncatula,Root,SRP390780
MtrunA17Chr6g0452711,MtrunA17Chr6g0452711,0.0,0.0,0.558,0.036,0.522,3.50629623936418,Pericycle,medicago_truncatula->PO:0009005->PO:0020124->PO:0006203,medicago_truncatula,Root,SRP390780
MtrunA17Chr4g0054891,MtNPF7.8,0.0,0.0,0.572,0.022,0.55,3.48724010200029,Pericycle,medicago_truncatula->PO:0009005->PO:0020124->PO:0006203,medicago_truncatula,Root,SRP390780
MtrunA17Chr8g0386011,MtSWEET12,0.0,0.0,0.37,0.031,0.339,3.24716670904023,Pericycle,medicago_truncatula->PO:0009005->PO:0020124->PO:0006203,medicago_truncatula,Root,SRP390780
MtrunA17Chr3g0099901,MtrunA17Chr3g0099901,0.0,0.0,0.66,0.103,0.557,3.23439043532751,Pericycle,medicago_truncatula->PO:0009005->PO:0020124->PO:0006203,medicago_truncatula,Root,SRP390780
MtrunA17Chr2g0327991,MtrunA17Chr2g0327991,0.0,0.0,0.351,0.007,0.344,3.17132178720329,Pericycle,medicago_truncatula->PO:0009005->PO:0020124->PO:0006203,medicago_truncatula,Root,SRP390780
MtrunA17Chr1g0158931,"MtSWEET3c,MtSWEET3.3%20",0.0,0.0,0.389,0.018,0.371,3.0492635362245,Pericycle,medicago_truncatula->PO:0009005->PO:0020124->PO:0006203,medicago_truncatula,Root,SRP390780
