"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","clusterName","gene"
0,3.59556122891221,0.977,0.221,0,"Stele1","AT2G02130"
0,2.37248112764849,0.807,0.101,0,"Stele1","AT1G44800"
0,2.30195571545435,1,0.668,0,"Stele1","AT3G14990"
0,2.30129130343837,0.931,0.202,0,"Stele1","AT4G14010"
0,2.27469753729897,0.892,0.197,0,"Stele1","AT3G16330"
0,2.27295958440145,0.953,0.365,0,"Stele1","AT3G21770"
0,2.10245739716496,0.915,0.121,0,"Stele1","AT4G18510"
0,2.06721288049366,0.977,0.561,0,"Stele1","AT3G11930"
2.47639558864802e-247,2.03281559811675,0.883,0.481,6.78928614583742e-243,"Stele1","AT2G30860"
1.37127164629424e-211,1.81817194596809,0.79,0.404,3.75947834548029e-207,"Stele1","AT2G33830"
0,1.80484358524771,0.935,0.216,0,"Stele1","AT4G14130"
0,1.77946244520872,0.938,0.228,0,"Stele1","AT4G11210"
0,1.74961652911338,0.989,0.621,0,"Stele1","AT4G22212"
0,1.67182717493676,0.998,0.771,0,"Stele1","AT1G62480"
0,1.61347551880601,0.98,0.502,0,"Stele1","AT3G11630"
0,1.57541237227874,0.547,0.051,0,"Stele1","AT1G26450"
0,1.52875996984012,0.834,0.267,0,"Stele1","AT2G34140"
0,1.52533658010417,0.574,0.097,0,"Stele1","AT5G24800"
0,1.51423763634124,0.99,0.715,0,"Stele1","AT1G52300"
0,1.51326529390214,0.836,0.144,0,"Stele1","AT3G45700"
0,1.50045998161809,0.731,0.123,0,"Stele1","AT3G28600"
0,1.49608648517212,1,0.93,0,"Stele1","AT5G56540"
1.55410771951412e-296,1.47660336568131,0.939,0.492,4.26074172381992e-292,"Stele1","AT2G37040"
0,1.47188360447421,0.992,0.735,0,"Stele1","AT4G18100"
0,1.45619921983786,0.93,0.295,0,"Stele1","AT1G62380"
2.09410974520069e-285,1.41075784821756,0.996,0.775,5.7412112774422e-281,"Stele1","AT5G02960"
0,1.409100571393,0.986,0.581,0,"Stele1","AT1G27130"
0,1.40094926099971,0.931,0.198,0,"Stele1","AT4G22570"
2.98042219877913e-297,1.39937675824171,0.997,0.815,8.17112550017287e-293,"Stele1","AT5G20290"
2.98524939850333e-297,1.39415225317427,0.992,0.721,8.18435975093673e-293,"Stele1","AT3G25520"
2.69346892388184e-288,1.39010763042207,0.996,0.811,7.38441440171445e-284,"Stele1","AT5G15200"
0,1.38628435415112,1,0.851,0,"Stele1","AT1G02780"
0,1.38207666691283,0.913,0.186,0,"Stele1","AT5G05790"
2.62251535609547e-293,1.38036436180469,0.981,0.723,7.18988810027133e-289,"Stele1","AT5G28060"
7.0444392174907e-296,1.38014743482431,0.972,0.687,1.93130345586725e-291,"Stele1","AT4G15000"
0,1.37987017251159,1,0.977,0,"Stele1","AT1G13440"
0,1.37636451728482,0.838,0.336,0,"Stele1","AT4G05120"
1.39263175148567e-246,1.36273616752489,0.551,0.141,3.8180392098731e-242,"Stele1","AT3G18280"
0,1.36236195834014,0.972,0.627,0,"Stele1","AT2G36160"
