"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","clusterName","gene"
0,2.06404919485062,0.816,0.105,0,"Cortex","Zm00001d017508"
0,1.96039763799359,0.989,0.528,0,"Cortex","Zm00001d047117"
0,1.93755837131121,0.941,0.296,0,"Cortex","Zm00001d018704"
0,1.9255775530234,0.964,0.239,0,"Cortex","Zm00001d026163"
0,1.92015231903484,0.969,0.226,0,"Cortex","Zm00001d029859"
0,1.92000351162453,0.835,0.117,0,"Cortex","Zm00001d026162"
0,1.81387781703085,0.914,0.225,0,"Cortex","Zm00001d047114"
0,1.7274280838237,0.743,0.192,0,"Cortex","Zm00001d022457"
0,1.63892672809853,0.703,0.099,0,"Cortex","Zm00001d017494"
0,1.53754346437463,0.738,0.095,0,"Cortex","Zm00001d019163"
0,1.50253577492647,0.908,0.218,0,"Cortex","Zm00001d020958"
0,1.49935262089925,0.838,0.261,0,"Cortex","Zm00001d021168"
0,1.43914940056761,0.873,0.374,0,"Cortex","Zm00001d043047"
0,1.42814978724261,0.613,0.102,0,"Cortex","Zm00001d048723"
0,1.39254155950074,0.933,0.274,0,"Cortex","Zm00001d044339"
0,1.37971592181523,0.819,0.232,0,"Cortex","Zm00001d034382"
0,1.37738428409913,0.779,0.227,0,"Cortex","Zm00001d044762"
0,1.3733933826802,0.718,0.118,0,"Cortex","Zm00001d051934"
0,1.32520336156289,0.804,0.257,0,"Cortex","Zm00001d037637"
0,1.31318034605586,0.828,0.278,0,"Cortex","Zm00001d028750"
0,1.31037260063438,0.894,0.378,0,"Cortex","Zm00001d026177"
0,1.3043398159579,0.973,0.617,0,"Cortex","Zm00001d042541"
0,1.30070725352603,0.784,0.174,0,"Cortex","Zm00001d047113"
0,1.29780889506868,0.782,0.261,0,"Cortex","Zm00001d052254"
0,1.2916746683454,0.986,0.597,0,"Cortex","Zm00001d033855"
0,1.28827041306655,0.985,0.664,0,"Cortex","Zm00001d051362"
0,1.2877566980596,0.589,0.074,0,"Cortex","Zm00001d038163"
0,1.27957007931982,0.954,0.555,0,"Cortex","Zm00001d042540"
0,1.2759450238224,0.915,0.47,0,"Cortex","Zm00001d036234"
0,1.26796412475711,0.522,0.081,0,"Cortex","Zm00001d030199"
0,1.2639185322088,0.865,0.286,0,"Cortex","Zm00001d033457"
0,1.23258130297192,0.722,0.178,0,"Cortex","Zm00001d010632"
0,1.22107012657283,0.515,0.024,0,"Cortex","Zm00001d052518"
0,1.18934451154214,0.992,0.583,0,"Cortex","Zm00001d041173"
0,1.181902374365,0.572,0.025,0,"Cortex","Zm00001d027290"
0,1.17317350538479,0.704,0.224,0,"Cortex","Zm00001d003283"
0,1.17069414854836,0.815,0.396,0,"Cortex","Zm00001d002564"
0,1.15837670245595,0.817,0.293,0,"Cortex","Zm00001d046186"
0,1.15515925049381,0.959,0.562,0,"Cortex","Zm00001d028721"
0,1.14299567430135,0.848,0.308,0,"Cortex","Zm00001d044677"
0,1.14192765156177,0.542,0.099,0,"Cortex","Zm00001d022458"
