"gene","name","p_val","p_val_adj","pct_1","pct_2","pct_diff","avg_log2FC","clusterName","celltype_id","species","tissue","dataset"
"AT1G67090","RBCS1A",0,0,0.652,0.069,0.583,4.14569945312867,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"AT2G38540","LTP1",0,0,0.449,0.03,0.419,3.92284590504662,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"AT5G07530","ATGRP-7",0,0,0.735,0.326,0.409,3.69216351441453,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"AT5G07550","GRP19",0,0,0.612,0.193,0.419,3.50655704650025,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"AT1G66850","AT1G66850",0,0,0.529,0.138,0.391,3.36175784347437,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"AT1G23570","AT1G23570",0,0,0.268,0.045,0.223,3.12486904886779,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"AT3G15400","ATA20",0,0,0.478,0.119,0.359,3.07274711493941,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"AT5G38410","RBCS3B",0,0,0.52,0.118,0.402,3.05395804246629,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"AT2G34420","LHB1B2",0,0,0.475,0.033,0.442,2.95864650061765,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"AT5G24780","VSP1",0,0,0.337,0.024,0.313,2.90036657341244,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"ATCG00490","RBCL",0,0,0.545,0.149,0.396,2.88659235707967,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"AT5G07560","GRP20",0,0,0.449,0.105,0.344,2.85223855861859,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"AT2G20870","AT2G20870",0,0,0.291,0.018,0.273,2.82734294340103,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"AT1G20130","AT1G20130",0,0,0.347,0.059,0.288,2.75059935821519,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"ATCG00020","PSBA",0,0,0.706,0.292,0.414,2.73369360229155,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"AT1G29930","AB140",0,0,0.427,0.037,0.39,2.69414052522463,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"AT1G79040","PSBR",0,0,0.413,0.061,0.352,2.57654271392291,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"AT1G75910","EXL4",0,0,0.309,0.048,0.261,2.57592886156959,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"AT3G08770","AtLtpI-6",0,0,0.261,0.018,0.243,2.50654402418662,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"AT5G15960","KIN1",0,0,0.361,0.07,0.291,2.48932328174036,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"AT3G25050","XTH3",0,0,0.312,0.058,0.254,2.48737814517565,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"AT2G10940","AT2G10940",0,0,0.309,0.016,0.293,2.47192461908944,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"AT1G75940","ATA27",0,0,0.318,0.05,0.268,2.46729795523995,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"AT5G07510","GRP-4",0,0,0.362,0.073,0.289,2.36666830088072,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"AT5G15970","AtCor6.6",0,0,0.391,0.06,0.331,2.35010820766895,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"AT5G25980","BGLU37",0,0,0.232,0.014,0.218,2.2869157756154,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"AT2G39730","RCA",0,0,0.323,0.017,0.306,2.28220731232712,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"AT4G38770","AT4G38770",0,0,0.27,0.014,0.256,2.28171813057621,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"ATCG00280","PSBC",0,0,0.4,0.092,0.308,2.20742365474658,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"ATCG00340","PSAB",0,0,0.589,0.263,0.326,2.19047582403672,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"AT5G38420","RBCS2B",0,0,0.288,0.016,0.272,2.19008205271183,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"AT1G72610","GER1",0,0,0.273,0.012,0.261,2.1714689712217,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"AT3G54890","LHCA1",0,0,0.331,0.027,0.304,2.15296374664967,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"AT1G06680","OE23",0,0,0.327,0.03,0.297,2.14966410273699,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"AT1G23240","AT1G23240",0,0,0.251,0.052,0.199,2.12850445083592,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"AT1G20340","DRT112",0,0,0.301,0.014,0.287,2.12139070566885,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"AT4G35100","AT4G35100",0,0,0.286,0.015,0.271,2.10620667726094,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"AT4G33355","AT4G33355",0,0,0.301,0.052,0.249,2.08036388229522,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"AT5G66570","MSP-1",0,0,0.366,0.087,0.279,2.06720311067309,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
"AT1G13930","AT1G13930",0,0,0.263,0.011,0.252,2.04661908111823,"Contaminating nuclei","arabidopsis_thaliana->PO:0025281->SP:0000012","arabidopsis_thaliana","Pollen","SRP374045"
