,p_val,avg_log2FC,pct_1,pct_2,p_val_adj,clusterName,gene
2842,3.0259159378166e-212,0.689886525,0.455,0.265,6.56684276824958e-208,Nonhair,Solyc01g081190
2843,2.19815606782097e-214,0.688101757,0.356,0.173,4.77043829838508e-210,Nonhair,Solyc09g091260
2844,4.11688990372706e-136,0.686730406,0.346,0.209,8.93447446906846e-132,Nonhair,Solyc01g005257
2845,2.201152878294e-206,0.68635684,0.393,0.209,4.77694197647364e-202,Nonhair,Solyc04g050490
2846,1.7907973987989e-200,0.684803686,0.316,0.143,3.88638851487337e-196,Nonhair,Solyc01g106060
2847,5.15677739703554e-99,0.683971124,0.401,0.275,1.11912383070465e-94,Nonhair,Solyc04g007130
2848,2.62815906777439e-141,0.682882017,0.343,0.2,5.70363080888398e-137,Nonhair,Solyc05g007070
2849,1.85186549499578e-125,0.682382277,0.466,0.306,4.01891849723983e-121,Nonhair,Solyc01g005230
2850,5.19522630294927e-122,0.681182814,0.657,0.579,1.12746801226605e-117,Nonhair,Solyc06g053840
2851,8.01498099865687e-213,0.679788653,0.309,0.138,1.73941117632851e-208,Nonhair,Solyc02g085240
2852,6.4250494544696e-13,0.677497717,0.31,0.285,1.39436423260899e-08,Nonhair,Solyc03g006490
2853,2.30498567349582e-152,0.677190418,0.6,0.499,5.00227990862063e-148,Nonhair,Solyc03g112770
2854,0,0.676553212,0.888,0.867,0,Nonhair,Solyc07g064150
2855,9.89427316807547e-169,0.676400203,0.436,0.277,2.14725516293574e-164,Nonhair,Solyc01g095280
2856,5.13203816451314e-141,0.674282885,0.512,0.394,1.11375492246264e-136,Nonhair,Solyc05g056540
2857,3.46741301054453e-39,0.674099423,0.465,0.43,7.52497971548374e-35,Nonhair,Solyc03g114950
2858,1.34299159916636e-99,0.672917335,0.654,0.597,2.91456036851084e-95,Nonhair,Solyc12g095790
2859,1.11361826705688e-174,0.672273576,0.395,0.231,2.41677436316684e-170,Nonhair,Solyc04g077920
2860,1.72661698024372e-133,0.669784098,0.462,0.316,3.74710417052492e-129,Nonhair,Solyc02g079170
2861,6.04027218998075e-14,0.668557428,0.333,0.307,1.31085987066962e-09,Nonhair,Solyc01g081450
2862,8.18687345344545e-176,0.667207143,0.308,0.148,1.77671527686673e-171,Nonhair,Solyc01g079600
2863,3.1388414707461e-159,0.667070688,0.355,0.201,6.81191375981319e-155,Nonhair,Solyc02g021680
2864,1.89425863015963e-166,0.664850828,0.401,0.243,4.11092007917243e-162,Nonhair,Solyc02g064650
