"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","clusterName","gene"
"1",0,1.62004834373191,0.717,0.329,0,"Mesophyll2","AT3G22120"
"2",0,1.54731110568402,0.866,0.772,0,"Mesophyll2","ATCG00040"
"3",0,1.49774027584855,0.604,0.28,0,"Mesophyll2","AT5G20630"
"4",0,1.41397793849974,0.827,0.675,0,"Mesophyll2","ATCG00820"
"5",0,1.3722898811571,0.872,0.7,0,"Mesophyll2","AT3G53460"
"6",0,1.34565633590824,0.896,0.826,0,"Mesophyll2","ATCG00830"
"7",0,1.25779143352769,0.7,0.554,0,"Mesophyll2","ATCG00490"
"8",0,1.23743315253381,0.913,0.9,0,"Mesophyll2","ATCG01130"
"9",0,1.22491684963307,0.798,0.67,0,"Mesophyll2","ATCG00800"
"10",0,1.20504493234898,0.83,0.739,0,"Mesophyll2","ATCG00790"
"11",0,1.20326092810629,0.891,0.764,0,"Mesophyll2","AT3G27850"
"12",0,1.1190812048921,0.686,0.523,0,"Mesophyll2","ATCG00810"
"13",0,1.11675904562303,0.82,0.67,0,"Mesophyll2","AT3G15190"
"14",0,1.11309410996878,0.868,0.743,0,"Mesophyll2","AT1G48350"
"15",0,1.09536422356098,0.795,0.631,0,"Mesophyll2","AT2G28000"
"16",0,1.08797649833034,0.804,0.724,0,"Mesophyll2","ATCG00380"
"17",0,1.08530661636852,0.856,0.717,0,"Mesophyll2","AT4G27440"
"18",0,1.07475920747113,0.827,0.7,0,"Mesophyll2","AT4G01310"
"19",2.3919835049759e-121,1.06694267847201,0.524,0.425,5.5283522767003e-117,"Mesophyll2","ATCG00680"
"20",0,1.06607340891347,0.877,0.77,0,"Mesophyll2","AT5G20720"
"21",0,1.05364205692889,0.736,0.54,0,"Mesophyll2","AT1G55490"
"22",2.84352707087125e-173,1.05154282398652,0.666,0.568,6.57195976619763e-169,"Mesophyll2","ATCG00720"
"23",0,1.05046676789265,0.795,0.68,0,"Mesophyll2","ATCG00170"
"24",0,1.0389776578875,0.843,0.742,0,"Mesophyll2","AT3G27830"
"25",0,1.02633402331048,0.808,0.648,0,"Mesophyll2","AT3G52150"
"26",0,1.02623898543026,0.562,0.366,0,"Mesophyll2","ATCG00780"
"27",0,1.02032393122376,0.851,0.73,0,"Mesophyll2","AT1G75350"
"28",0,1.00390407963794,0.795,0.63,0,"Mesophyll2","AT1G32990"
"29",0,0.993343998469723,0.702,0.499,0,"Mesophyll2","AT4G29060"
"30",0,0.977923639730606,0.863,0.765,0,"Mesophyll2","AT1G78630"
"31",0,0.969169790209164,0.77,0.606,0,"Mesophyll2","AT2G37660"
"32",0,0.966342109344068,0.866,0.754,0,"Mesophyll2","AT5G14320"
"33",0,0.960957642542156,0.869,0.749,0,"Mesophyll2","AT1G05190"
"34",0,0.958210321553479,0.785,0.62,0,"Mesophyll2","AT3G63490"
"35",0,0.957212487190578,0.823,0.7,0,"Mesophyll2","AT5G40950"
"36",0,0.95094872385598,0.869,0.77,0,"Mesophyll2","AT1G79850"
"37",0,0.949362012834402,0.789,0.647,0,"Mesophyll2","AT2G33450"
"38",0,0.949111188165138,0.873,0.777,0,"Mesophyll2","AT2G37220"
"39",6.02014590249569e-203,0.947920633997293,0.529,0.397,1.3913761209848e-198,"Mesophyll2","ATCG01280"
"40",2.17739321322356e-267,0.945397477251249,0.828,0.764,5.03239119440229e-263,"Mesophyll2","ATCG00130"
"41",0,0.944675976731817,0.83,0.726,0,"Mesophyll2","AT2G24090"
"42",0,0.941773799006649,0.81,0.68,0,"Mesophyll2","AT2G43030"
"43",0,0.939308433696394,0.834,0.725,0,"Mesophyll2","AT2G44650"
"44",0,0.933307212595389,0.887,0.792,0,"Mesophyll2","AT3G56910"
"45",0,0.930979661732854,0.856,0.736,0,"Mesophyll2","AT3G25920"
"46",0,0.930330679847214,0.877,0.776,0,"Mesophyll2","AT1G35680"
"47",0,0.925392606908153,0.741,0.56,0,"Mesophyll2","AT3G08740"
"48",0,0.923296543997236,0.859,0.772,0,"Mesophyll2","AT1G29070"
"49",0,0.921107058495029,0.713,0.534,0,"Mesophyll2","AT2G14880"
"50",0,0.915470608033407,0.743,0.591,0,"Mesophyll2","AT5G08280"
"51",0,0.912586782178946,0.858,0.74,0,"Mesophyll2","AT4G24770"
"52",0,0.910714666618309,0.557,0.27,0,"Mesophyll2","AT1G09750"
"53",0,0.9102907705462,0.784,0.646,0,"Mesophyll2","AT5G14910"
"54",0,0.909953777944421,0.763,0.62,0,"Mesophyll2","AT2G33800"
"55",0,0.904849306487246,0.621,0.415,0,"Mesophyll2","AT3G13470"
"56",0,0.898862903778004,0.846,0.739,0,"Mesophyll2","AT3G54210"
"57",0,0.897423637430577,0.73,0.46,0,"Mesophyll2","AT2G10940"
"58",0,0.89623773567721,0.779,0.63,0,"Mesophyll2","AT1G07320"
"59",0,0.890363102418887,0.745,0.589,0,"Mesophyll2","AT5G58250"
"60",0,0.887712354788757,0.83,0.759,0,"Mesophyll2","AT5G17870"
"61",0,0.883646751831324,0.767,0.622,0,"Mesophyll2","AT5G13510"
"62",0,0.877047868315796,0.786,0.662,0,"Mesophyll2","AT3G44890"
"63",0,0.876290355216672,0.832,0.802,0,"Mesophyll2","ATCG00740"
"64",7.32265766170652e-282,0.876237028773979,0.628,0.473,1.69241263877361e-277,"Mesophyll2","ATCG00180"
"65",0,0.873596981211442,0.962,0.936,0,"Mesophyll2","AT4G34620"
"66",0,0.871233043722281,0.774,0.652,0,"Mesophyll2","AT5G30510"
"67",0,0.865766915525377,0.828,0.723,0,"Mesophyll2","AT4G20360"
"68",0,0.858908427154173,0.817,0.69,0,"Mesophyll2","AT3G13120"
"69",0,0.852563521541111,0.673,0.503,0,"Mesophyll2","AT1G11430"
"70",0,0.851423060736745,0.814,0.689,0,"Mesophyll2","AT1G74970"
"71",0,0.850084896547191,0.858,0.791,0,"Mesophyll2","AT2G38140"
"72",0,0.842531151669444,0.612,0.424,0,"Mesophyll2","AT2G04030"
"73",0,0.83377662291258,0.78,0.648,0,"Mesophyll2","AT5G63310"
"74",0,0.83334189276918,0.765,0.609,0,"Mesophyll2","AT5G47190"
"75",0,0.812301657842187,0.785,0.644,0,"Mesophyll2","AT1G68590"
"76",8.59926038071384e-269,0.80887088388001,0.71,0.576,1.98746105919058e-264,"Mesophyll2","ATCG00160"
"77",0,0.800508232053449,0.677,0.517,0,"Mesophyll2","AT5G26742"
"78",0,0.800329434518363,0.632,0.442,0,"Mesophyll2","AT3G48730"
"79",0,0.799948365184272,0.959,0.896,0,"Mesophyll2","AT1G29920"
"80",0,0.794331858342044,0.592,0.375,0,"Mesophyll2","AT2G32180"
"81",0,0.793922190946359,0.871,0.8,0,"Mesophyll2","AT3G62030"
"82",0,0.792310544763112,0.535,0.295,0,"Mesophyll2","AT1G10522"
"83",0,0.792217124155346,0.635,0.452,0,"Mesophyll2","AT2G32650"
"84",1.30127669075896e-127,0.788229113196163,0.675,0.602,3.00751068768211e-123,"Mesophyll2","ATCG01050"
"85",0,0.785244424280229,0.717,0.55,0,"Mesophyll2","AT4G17560"
"86",0,0.783009803709422,0.76,0.64,0,"Mesophyll2","AT3G26060"
"87",1.62214580662912e-117,0.781929269551672,0.692,0.621,3.74910338828123e-113,"Mesophyll2","ATCG01240"
"88",0,0.776066952884126,0.647,0.491,0,"Mesophyll2","AT5G63570"
"89",0,0.774078935912206,0.642,0.475,0,"Mesophyll2","AT3G52380"
"90",0,0.773302313100156,0.967,0.867,0,"Mesophyll2","AT1G29910"
"91",0,0.77166124369089,0.683,0.489,0,"Mesophyll2","AT3G63190"
"92",0,0.765171213094799,0.662,0.485,0,"Mesophyll2","AT2G24060"
"93",0,0.759554321738069,0.773,0.655,0,"Mesophyll2","AT3G47650"
"94",0,0.757256404913335,0.611,0.399,0,"Mesophyll2","AT4G34290"
"95",0,0.74794523779195,0.671,0.492,0,"Mesophyll2","AT4G17600"
"96",4.7004130602281e-204,0.746817163325749,0.791,0.719,1.08635946647992e-199,"Mesophyll2","ATCG00540"
"97",0,0.741458151066655,0.751,0.612,0,"Mesophyll2","AT4G18480"
"98",0,0.73593881854461,0.602,0.415,0,"Mesophyll2","AT1G06190"
"99",0,0.731875174715694,0.695,0.558,0,"Mesophyll2","AT2G17240"
"100",0,0.731643181235116,0.819,0.725,0,"Mesophyll2","AT5G54600"
"101",0,0.728119411721268,0.827,0.719,0,"Mesophyll2","AT3G27160"
"102",0,0.724104489979987,0.714,0.575,0,"Mesophyll2","AT5G65220"
"103",0,0.720005820424595,0.889,0.801,0,"Mesophyll2","AT1G44575"
"104",0,0.71535375499305,0.767,0.642,0,"Mesophyll2","AT1G64510"
"105",0,0.712093757862824,0.87,0.814,0,"Mesophyll2","AT3G11630"
"106",0,0.711221655197015,0.544,0.349,0,"Mesophyll2","AT1G14410"
"107",0,0.711191494859967,0.512,0.315,0,"Mesophyll2","ATCG00650"
"108",0,0.705262907205291,0.769,0.668,0,"Mesophyll2","AT4G10480"
"109",0,0.705135601986024,0.631,0.507,0,"Mesophyll2","AT4G24280"
"110",3.86209381789076e-154,0.699998304922212,0.85,0.858,8.92607123190912e-150,"Mesophyll2","ATCG00340"
"111",0,0.699963790951188,0.671,0.526,0,"Mesophyll2","AT2G40490"
"112",0,0.697988928376768,0.911,0.868,0,"Mesophyll2","AT5G02450"
"113",0,0.695810862103958,0.594,0.428,0,"Mesophyll2","AT3G14110"
"114",0,0.694634909239384,0.789,0.679,0,"Mesophyll2","AT3G63410"
"115",0,0.694404856600676,0.817,0.721,0,"Mesophyll2","AT3G52960"
"116",0,0.691632255086433,0.773,0.66,0,"Mesophyll2","AT3G28900"
"117",1.89451688488776e-199,0.6866771590683,0.552,0.407,4.37860742435258e-195,"Mesophyll2","ATCG00280"
"118",0,0.684720042341458,0.589,0.429,0,"Mesophyll2","AT4G39040"
"119",0,0.684422159324733,0.646,0.479,0,"Mesophyll2","AT4G24750"
"120",0,0.681831945733053,0.919,0.874,0,"Mesophyll2","AT2G19730"
"121",0,0.680899587609737,0.596,0.432,0,"Mesophyll2","AT3G12930"
"122",0,0.676809583000376,0.628,0.492,0,"Mesophyll2","AT1G03475"
"123",0,0.676785988431029,0.673,0.535,0,"Mesophyll2","AT5G06290"
"124",0,0.675448177905404,0.546,0.356,0,"Mesophyll2","AT5G55220"
"125",0,0.675117120338256,0.932,0.879,0,"Mesophyll2","AT2G27710"
"126",0,0.67358057085388,0.662,0.527,0,"Mesophyll2","AT2G20450"
"127",0,0.668414061261772,0.554,0.378,0,"Mesophyll2","AT5G28500"
"128",0,0.667670438529065,0.525,0.312,0,"Mesophyll2","AT4G26370"
"129",0,0.6654512344888,0.777,0.681,0,"Mesophyll2","AT4G29410"
"130",0,0.662856216498021,0.877,0.784,0,"Mesophyll2","AT4G31700"
"131",0,0.661256517606355,0.645,0.49,0,"Mesophyll2","AT1G02280"
"132",0,0.653824415210078,0.878,0.81,0,"Mesophyll2","AT5G07090"
"133",0,0.649420651401092,0.969,0.943,0,"Mesophyll2","AT4G39200"
"134",0,0.64699267815104,0.695,0.545,0,"Mesophyll2","AT5G51110"
"135",0,0.646280925270155,0.545,0.358,0,"Mesophyll2","AT1G01320"
"136",0,0.640912552573128,0.744,0.65,0,"Mesophyll2","AT5G22440"
"137",0,0.639606093414097,0.785,0.702,0,"Mesophyll2","AT3G58610"
"138",1.60611281448825e-267,0.638826371933732,0.614,0.496,3.71204793684523e-263,"Mesophyll2","AT1G15500"
"139",0,0.631948672521463,0.936,0.894,0,"Mesophyll2","AT1G14320"
"140",0,0.631319942123126,0.924,0.873,0,"Mesophyll2","AT4G00100"
"141",4.67232958175162e-259,0.630962042818954,0.678,0.578,1.07986881293444e-254,"Mesophyll2","AT1G10960"
