"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","clusterName","gene"
0,1.0843908691695,0.954,0.862,0,"EXO_iCOR1","Solyc04g077020"
5.80400791378904e-165,1.06765485615284,0.519,0.285,1.2595857974505e-160,"EXO_iCOR1","Solyc09g082560"
9.15212720883296e-125,1.05775085856543,0.578,0.347,1.98619464686093e-120,"EXO_iCOR1","Solyc09g010940"
0,1.0390986196722,0.993,0.966,0,"EXO_iCOR1","Solyc08g006890"
9.53860445028094e-143,1.02930647152304,0.673,0.505,2.07006793779997e-138,"EXO_iCOR1","Solyc11g011020"
9.28963817066938e-179,1.02563841392021,0.69,0.472,2.01603727579867e-174,"EXO_iCOR1","Solyc01g108680"
2.17962624085092e-164,1.02189966234656,0.555,0.317,4.73022486789466e-160,"EXO_iCOR1","Solyc03g031800"
2.41636864533264e-243,1.01548174660599,0.83,0.564,5.2440032341009e-239,"EXO_iCOR1","Solyc01g087560"
1.24441107847077e-148,1.01485024899596,0.552,0.34,2.70062092249726e-144,"EXO_iCOR1","Solyc04g071540"
4.9470598090636e-175,1.0044740973531,0.592,0.32,1.07361091976298e-170,"EXO_iCOR1","Solyc05g051850"
1.01837241953333e-179,0.978863153590014,0.74,0.536,2.21007182487123e-175,"EXO_iCOR1","Solyc01g112260"
1.31667703189963e-225,0.961755390187447,0.831,0.703,2.85745249462857e-221,"EXO_iCOR1","Solyc01g009420"
1.2113243175031e-136,0.948656957956411,0.617,0.425,2.62881603384522e-132,"EXO_iCOR1","Solyc11g066820"
8.84099985315471e-151,0.929694034592833,0.703,0.55,1.91867378813163e-146,"EXO_iCOR1","Solyc10g011820"
2.06858347233118e-131,0.923616837605638,0.606,0.414,4.48923985165314e-127,"EXO_iCOR1","Solyc02g081400"
1.0718719526169e-193,0.920840387557768,0.584,0.276,2.32617651156919e-189,"EXO_iCOR1","Solyc08g069040"
1.52671906452884e-121,0.909221724737665,0.645,0.477,3.31328571384049e-117,"EXO_iCOR1","Solyc04g082140"
6.77549378814356e-238,0.892967252035766,0.543,0.214,1.47041766190292e-233,"EXO_iCOR1","Solyc01g109500"
5.36879094113477e-140,0.881962092733577,0.598,0.385,1.16513501004507e-135,"EXO_iCOR1","Solyc01g058670"
3.74841538091304e-109,0.876063754352891,0.597,0.417,8.13481105965748e-105,"EXO_iCOR1","Solyc03g114970"
2.92287039127999e-119,0.875556253861431,0.545,0.351,6.34321332315584e-115,"EXO_iCOR1","Solyc04g071650"
1.95081404476101e-307,0.871621489148858,0.943,0.858,4.23365663994035e-303,"EXO_iCOR1","Solyc08g008210"
1.57757663575117e-119,0.857976455447374,0.618,0.464,3.42365681490718e-115,"EXO_iCOR1","Solyc07g061970"
1.71965499880127e-88,0.840039382880714,0.515,0.339,3.73199527839851e-84,"EXO_iCOR1","Solyc02g070210"
8.74837651255524e-126,0.833521545427138,0.704,0.576,1.89857267075474e-121,"EXO_iCOR1","Solyc10g049620"
6.95459471855445e-68,0.827923029912187,0.504,0.394,1.50928614582069e-63,"EXO_iCOR1","Solyc12g055930"
2.29786028087507e-114,0.825908313628696,0.729,0.627,4.98681638155508e-110,"EXO_iCOR1","Solyc04g074100"
1.95381193389769e-82,0.817410494222937,0.5,0.318,4.24016265894477e-78,"EXO_iCOR1","Solyc02g070755"
3.12229661897053e-171,0.816130668721081,0.898,0.728,6.77600812248984e-167,"EXO_iCOR1","Solyc04g074730"
6.04765527195369e-106,0.815795068219686,0.659,0.537,1.31246214711939e-101,"EXO_iCOR1","Solyc01g106580"
2.28366121803787e-113,0.799899819420538,0.612,0.467,4.95600157538579e-109,"EXO_iCOR1","Solyc02g068530"
4.37108416272694e-132,0.79768882881562,0.714,0.599,9.48612684995001e-128,"EXO_iCOR1","Solyc12g095790"
6.52233694165091e-137,0.796215878189996,0.744,0.67,1.41547756307708e-132,"EXO_iCOR1","Solyc09g010520"
4.115551105669e-91,0.79516027649848,0.65,0.555,8.93156900952287e-87,"EXO_iCOR1","Solyc03g043960"
2.83530941433501e-152,0.794938638647102,0.758,0.639,6.15318849098984e-148,"EXO_iCOR1","Solyc01g067900"
1.5735805077231e-92,0.794873413141076,0.63,0.519,3.41498441786067e-88,"EXO_iCOR1","Solyc03g097190"
