"gene","name","p_val","p_val_adj","pct_1","pct_2","pct_diff","avg_log2FC","clusterName","celltype_id","species","tissue","dataset"
"Os05g0111300","OsMT2b",0,0,0.876,0.096,0.78,4.19939133582566,"Branch meristem","oryza_sativa->PO:0009049->SP:0000036","oryza_sativa","Inflorescence","SRP339472"
"Os09g0484200","LOC_Os09g31080",0,0,0.248,0.02,0.228,2.73528833567877,"Branch meristem","oryza_sativa->PO:0009049->SP:0000036","oryza_sativa","Inflorescence","SRP339472"
"Os06g0643500","LOC_Os06g43600",4.59031643465013e-219,2.48905318352468e-214,0.297,0.042,0.255,2.64937336252988,"Branch meristem","oryza_sativa->PO:0009049->SP:0000036","oryza_sativa","Inflorescence","SRP339472"
"Os08g0485000","LOC_Os08g37840",3.29710650165156e-114,1.78782302945554e-109,0.305,0.076,0.229,2.27553366429047,"Branch meristem","oryza_sativa->PO:0009049->SP:0000036","oryza_sativa","Inflorescence","SRP339472"
"Os02g0629800","CAL1",7.39472942927084e-111,4.00971808572782e-106,0.239,0.049,0.19,1.98465618028995,"Branch meristem","oryza_sativa->PO:0009049->SP:0000036","oryza_sativa","Inflorescence","SRP339472"
"Os05g0349800","Em*",2.66582302829699e-66,1.44551587886376e-61,0.276,0.091,0.185,1.79080523590141,"Branch meristem","oryza_sativa->PO:0009049->SP:0000036","oryza_sativa","Inflorescence","SRP339472"
"Os11g0671000","ARP1",3.88148413220386e-65,2.10469595584622e-60,0.215,0.06,0.155,1.75941614134386,"Branch meristem","oryza_sativa->PO:0009049->SP:0000036","oryza_sativa","Inflorescence","SRP339472"
"Os02g0121300","LRT2",4.08678449875268e-67,2.21601802660365e-62,0.312,0.11,0.202,1.60632365722151,"Branch meristem","oryza_sativa->PO:0009049->SP:0000036","oryza_sativa","Inflorescence","SRP339472"
"Os04g0498600","SAMDC",6.11829192285301e-26,3.31758261224782e-21,0.328,0.179,0.149,0.887787435215091,"Branch meristem","oryza_sativa->PO:0009049->SP:0000036","oryza_sativa","Inflorescence","SRP339472"
"Os01g0780900","LOC_Os01g57250",9.20336770480053e-22,4.99043410425104e-17,0.341,0.2,0.141,0.884151695244076,"Branch meristem","oryza_sativa->PO:0009049->SP:0000036","oryza_sativa","Inflorescence","SRP339472"
"Os03g0726100","OsTubA3",2.00539381130579e-19,1.08740474024245e-14,0.244,0.13,0.114,0.866722070693883,"Branch meristem","oryza_sativa->PO:0009049->SP:0000036","oryza_sativa","Inflorescence","SRP339472"
"Os11g0247300","TID1",1.50741538849533e-34,8.17380920257707e-30,0.596,0.4,0.196,0.847324113768853,"Branch meristem","oryza_sativa->PO:0009049->SP:0000036","oryza_sativa","Inflorescence","SRP339472"
"Os07g0661400","LOC_Os07g46670",2.69282021873242e-15,1.46015483540547e-10,0.286,0.178,0.108,0.779434130885872,"Branch meristem","oryza_sativa->PO:0009049->SP:0000036","oryza_sativa","Inflorescence","SRP339472"
"LNC_Os03g25810","LNC_Os03g25810",1.20445333071114e-13,6.53102774044809e-09,0.227,0.134,0.093,0.773505471357776,"Branch meristem","oryza_sativa->PO:0009049->SP:0000036","oryza_sativa","Inflorescence","SRP339472"
"Os08g0129800","LOC_Os08g03579",2.31782255154321e-34,1.25681610034879e-29,0.592,0.389,0.203,0.761800161018064,"Branch meristem","oryza_sativa->PO:0009049->SP:0000036","oryza_sativa","Inflorescence","SRP339472"
"Os10g0540300","LOC_Os10g39470",3.05485102187255e-12,1.65646241810017e-07,0.268,0.17,0.098,0.645323181169739,"Branch meristem","oryza_sativa->PO:0009049->SP:0000036","oryza_sativa","Inflorescence","SRP339472"
"Os03g0670700","OsGRP3",6.59213593614652e-21,3.57451979001609e-16,0.679,0.549,0.13,0.642836458357552,"Branch meristem","oryza_sativa->PO:0009049->SP:0000036","oryza_sativa","Inflorescence","SRP339472"
"Os04g0486600","GAPDH",5.3386502474489e-15,2.89482971017669e-10,0.26,0.152,0.108,0.627793679915395,"Branch meristem","oryza_sativa->PO:0009049->SP:0000036","oryza_sativa","Inflorescence","SRP339472"
"Os03g0342900","LOC_Os03g22270",3.99976855248497e-07,0.0216883449989945,0.272,0.198,0.074,0.590941311035532,"Branch meristem","oryza_sativa->PO:0009049->SP:0000036","oryza_sativa","Inflorescence","SRP339472"
"Os11g0660500","OsTCTP",3.89318381259039e-21,2.11103999053901e-16,0.691,0.55,0.141,0.564969925017946,"Branch meristem","oryza_sativa->PO:0009049->SP:0000036","oryza_sativa","Inflorescence","SRP339472"
"Os03g0327600","LOC_Os03g21040",1.56290329188475e-13,8.47468680991586e-09,0.42,0.3,0.12,0.554924311555919,"Branch meristem","oryza_sativa->PO:0009049->SP:0000036","oryza_sativa","Inflorescence","SRP339472"
"Os01g0819500","OsUBC22",1.98664463991967e-08,0.00107723818955,0.244,0.166,0.078,0.54142739681588,"Branch meristem","oryza_sativa->PO:0009049->SP:0000036","oryza_sativa","Inflorescence","SRP339472"
"Os09g0258600","rpl22",1.41128664523609e-08,0.0007652560705128,0.244,0.164,0.08,0.529423358241774,"Branch meristem","oryza_sativa->PO:0009049->SP:0000036","oryza_sativa","Inflorescence","SRP339472"
"Os06g0184300","BIP110",4.81328585869736e-13,2.60995612402006e-08,0.41,0.29,0.12,0.525857466764909,"Branch meristem","oryza_sativa->PO:0009049->SP:0000036","oryza_sativa","Inflorescence","SRP339472"
"LNC_Os08g32255","LNC_Os08g32255",0,0,0.576,0.154,0.422,3.28168243292594,"Flag leaf","oryza_sativa->PO:0009049->PO:0020103","oryza_sativa","Inflorescence","SRP339472"
"LOC_Os01g57968","LOC_Os01g57968",0,0,0.301,0.042,0.259,3.11610683746065,"Flag leaf","oryza_sativa->PO:0009049->PO:0020103","oryza_sativa","Inflorescence","SRP339472"
"gene-rpoC2","gene-rpoC2",0,0,0.387,0.059,0.328,3.06973607124243,"Flag leaf","oryza_sativa->PO:0009049->PO:0020103","oryza_sativa","Inflorescence","SRP339472"
"LNC_Os05g28150","LNC_Os05g28150",0,0,0.398,0.066,0.332,2.95653937349189,"Flag leaf","oryza_sativa->PO:0009049->PO:0020103","oryza_sativa","Inflorescence","SRP339472"
"LOC_Os12g34128","LOC_Os12g34128",0,0,0.565,0.128,0.437,2.92384005012085,"Flag leaf","oryza_sativa->PO:0009049->PO:0020103","oryza_sativa","Inflorescence","SRP339472"
"LOC_Os04g16722","LOC_Os04g16722",0,0,0.305,0.075,0.23,2.91883337710302,"Flag leaf","oryza_sativa->PO:0009049->PO:0020103","oryza_sativa","Inflorescence","SRP339472"
"LNC_Os01g01510","LNC_Os01g01510",0,0,0.351,0.055,0.296,2.86750718093094,"Flag leaf","oryza_sativa->PO:0009049->PO:0020103","oryza_sativa","Inflorescence","SRP339472"
"LOC_Os10g21230","LOC_Os10g21230",0,0,0.36,0.06,0.3,2.75618518324589,"Flag leaf","oryza_sativa->PO:0009049->PO:0020103","oryza_sativa","Inflorescence","SRP339472"
"gene-rps1","gene-rps1",0,0,0.553,0.139,0.414,2.66451155086409,"Flag leaf","oryza_sativa->PO:0009049->PO:0020103","oryza_sativa","Inflorescence","SRP339472"
"LOC_Os12g34056","LOC_Os12g34056",0,0,0.277,0.042,0.235,2.59289335422433,"Flag leaf","oryza_sativa->PO:0009049->PO:0020103","oryza_sativa","Inflorescence","SRP339472"
"LNC_Os01g18175","LNC_Os01g18175",0,0,0.306,0.047,0.259,2.5645862333157,"Flag leaf","oryza_sativa->PO:0009049->PO:0020103","oryza_sativa","Inflorescence","SRP339472"
"LOC_Os09g01000","LOC_Os09g01000",0,0,0.688,0.297,0.391,2.50902865914008,"Flag leaf","oryza_sativa->PO:0009049->PO:0020103","oryza_sativa","Inflorescence","SRP339472"
"LNC_Os07g53000","LNC_Os07g53000",0,0,0.203,0.026,0.177,2.47096718453272,"Flag leaf","oryza_sativa->PO:0009049->PO:0020103","oryza_sativa","Inflorescence","SRP339472"
"gene-cox3","gene-cox3",0,0,0.233,0.033,0.2,2.41096788016739,"Flag leaf","oryza_sativa->PO:0009049->PO:0020103","oryza_sativa","Inflorescence","SRP339472"
