"gene","name","p_val","p_val_adj","pct_1","pct_2","pct_diff","avg_log2FC","clusterName","celltype_id","species","tissue","dataset"
"Os06g0130900","LOC_Os06g04030",0,0,1,0.993,0.007,1.48598061612957,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os01g0502700","LOC_Os01g31800",1.20697923816935e-204,6.84634833266798e-200,0.321,0.109,0.212,1.39211972206044,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os01g0152700","Os01g0152700",0,0,0.8,0.516,0.284,1.38856225334972,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os09g0551600","LOC_Os09g37910",5.32684887301962e-200,3.02154848624292e-195,0.269,0.079,0.19,1.19127347517049,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os05g0113900","LOC_Os05g02300",0,0,0.294,0.035,0.259,1.14455810162297,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os04g0450800","Os04g0450800",1.48592049932911e-271,8.42858684834451e-267,0.947,0.827,0.12,1.04089138148993,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"LNC_Os02g06950","LNC_Os02g06950",1.30454749239031e-273,7.39978474108553e-269,0.874,0.597,0.277,1.0269141261953,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os06g0130800","LOC_Os06g04020",4.71231730023067e-189,2.67296774220984e-184,0.29,0.094,0.196,0.959483567420831,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os10g0465950","LOC_Os10g32840",5.96082077412747e-84,3.38115636770833e-79,0.447,0.278,0.169,0.889835137108634,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os08g0557600","OsMDAR4",2.33266208922985e-167,1.32315591687385e-162,0.849,0.693,0.156,0.830121506446926,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os02g0718600","OsAGP21",2.0171809235711e-114,1.14420553527724e-109,0.777,0.608,0.169,0.811889861000306,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os03g0721900","LOC_Os03g51200",0,0,0.246,0.028,0.218,0.798538628999731,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os01g0332900","LOC_Os01g22990",6.36857564882002e-189,3.61244716528018e-184,0.569,0.319,0.25,0.790740030708777,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os07g0607800","LOC_Os07g41694",6.9283497138256e-242,3.9299678081733e-237,0.544,0.253,0.291,0.766470810501589,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os01g0959100","Asr3",1.06933972943515e-109,6.065615747275e-105,0.813,0.667,0.146,0.729207600628206,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os03g0390600","LOC_Os03g27310",3.06114178948134e-258,1.7363714572475e-253,0.954,0.842,0.112,0.698314883868312,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os04g0628100","rubi3",4.44121375383272e-156,2.51918967758653e-151,0.926,0.836,0.0900000000000001,0.69396156561268,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os08g0120600","LOC_Os08g02700",3.11661008548123e-148,1.76783473878752e-143,0.431,0.203,0.228,0.677703723776906,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os05g0571600","LOC_Os05g49670",1.18425744744121e-176,6.71746351912078e-172,0.339,0.127,0.212,0.657736625931057,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os06g0127900","RNRS2",9.80019356153795e-68,5.55896379391117e-63,0.736,0.57,0.166,0.636193270641813,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os06g0111500","Os6PGDH1",3.04323152925315e-146,1.72621222033826e-141,0.888,0.746,0.142,0.611517650574654,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os02g0705400","LOC_Os02g47650",3.33715317701572e-141,1.89293339659863e-136,0.919,0.818,0.101,0.607081420717378,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os03g0300400","JIOsPR10",1.14216875964321e-68,6.4787238553242e-64,0.48,0.318,0.162,0.601314653185095,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os02g0755900","LOC_Os02g51930",2.8539645028482e-83,1.61885428495058e-78,0.598,0.405,0.193,0.596334547374708,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"LNC_Os06g29470","LNC_Os06g29470",3.21012704356079e-161,1.82088036291899e-156,0.995,0.977,0.018,0.59471144819867,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os04g0674400","LOC_Os04g57810",1.6904785875477e-167,9.58890169214682e-163,0.927,0.811,0.116,0.588732577393256,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os07g0162400","OsCDAP1",2.88338034961948e-74,1.63553983571466e-69,0.444,0.275,0.169,0.588176274738789,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os04g0600200","AOX1A",1.15901186003156e-128,6.57426297365701e-124,0.799,0.641,0.158,0.587775309519845,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os06g0248600","LOC_Os06g13880",8.17676252183361e-80,4.63810500525968e-75,0.46,0.279,0.181,0.58490606038915,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os08g0137800","OsUCL24",3.11542825646624e-117,1.76716436991534e-112,0.767,0.544,0.223,0.575863898769564,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os01g0716500","LOC_Os01g51870",1.85256060331639e-94,1.05082795101915e-89,0.376,0.197,0.179,0.569036155748345,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os01g0323600","OsSAM2",4.44040109895229e-100,2.51872871535871e-95,0.733,0.53,0.203,0.563372490793169,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os05g0186300","OscytME2",2.89432343429597e-87,1.64174708163571e-82,0.737,0.565,0.172,0.555774273132821,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os04g0627900","UNP1",2.16348849597429e-97,1.22719557957149e-92,0.713,0.513,0.2,0.555029400435227,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os08g0137900","OsUCL25",3.08586715777117e-92,1.75039642790254e-87,0.853,0.711,0.142,0.552835245586077,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os01g0813400","OsARFA1a",8.38104298418738e-112,4.75397901192061e-107,0.774,0.619,0.155,0.541168803927733,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os01g0289100","LOC_Os01g18530",1.9650422605099e-48,1.11463092142903e-43,0.203,0.105,0.098,0.525117517194317,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os11g0147150","Os11g0147150",2.59356008680829e-66,1.47114508804027e-61,0.683,0.537,0.146,0.514268645107617,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os04g0497000","OsNADPH1",1.61267034985681e-52,9.14755002549276e-48,0.692,0.559,0.133,0.509793309477033,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os06g0249350","LOC_Os06g13940",5.37135154159356e-65,3.04679173493811e-60,0.837,0.728,0.109,0.500454131765173,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os04g0688300","prx61",0,0,0.535,0.206,0.329,2.56981750924117,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os03g0103200","Os03g0103200",0,0,0.38,0.12,0.26,2.50900210602653,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os05g0405000","flo4",0,0,0.69,0.197,0.493,2.1501849742941,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os01g0124200","RBBI3-1",0,0,0.814,0.462,0.352,2.1182470133541,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os02g0612900","LOC_Os02g39930",0,0,0.598,0.292,0.306,2.03675878224489,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os06g0561000","OsMIOX",0,0,0.958,0.628,0.33,2.00635531145063,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os04g0650700","OsASNase2",0,0,0.616,0.346,0.27,1.99723950752145,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os03g0749300","OsBGLU1",0,0,0.735,0.302,0.433,1.98203534800638,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os07g0245100","LOC_Os07g14150",0,0,0.969,0.791,0.178,1.95730490593763,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
"Os01g0348900","OsJRL",0,0,0.864,0.72,0.144,1.9427193210462,"Leaf epidermis","oryza_sativa->PO:0009025->PO:0006016","oryza_sativa","Leaf","SRP286275"
