"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","clusterName","gene"
1.31818610563474e-221,1.30735825331018,0.73,0.581,2.63637221126949e-218,"1","MtrunA17Chr7g0240991"
0,1.27349743214438,0.869,0.732,0,"1","MtrunA17Chr8g0352581"
0,1.2609467014785,0.836,0.641,0,"1","MtrunA17Chr4g0060271"
0,1.23319282818991,0.902,0.753,0,"1","MtABAB28"
8.66679753163601e-83,1.22516428719049,0.617,0.619,1.7333595063272e-79,"1","MtrunA17Chr5g0394031"
0,1.20792038455964,0.854,0.718,0,"1","MtrunA17Chr7g0259121"
1.84254596486046e-24,1.19553901370346,0.512,0.499,3.68509192972091e-21,"1","MtrunA17Chr4g0040611"
3.16335337239915e-163,1.18493241088741,0.638,0.419,6.3267067447983e-160,"1","MtBG15"
0,1.17733970506067,0.87,0.729,0,"1","MtrunA17Chr6g0458931"
0,1.16587716337139,0.886,0.724,0,"1","MtrunA17Chr7g0247451"
0,1.12562747136562,0.876,0.677,0,"1","MtrunA17Chr8g0361431"
4.11909385507056e-43,1.12168349608725,0.562,0.591,8.23818771014113e-40,"1","MtrunA17Chr3g0134271"
0,1.08403035379825,0.81,0.56,0,"1","MtrunA17Chr7g0216961"
4.0853629406536e-95,1.07077066256158,0.598,0.463,8.17072588130721e-92,"1","MtrunA17Chr1g0151781"
8.3647179405342e-165,1.00954265543917,0.806,0.694,1.67294358810684e-161,"1","MtrunA17Chr7g0251151"
1.00086036377715e-25,0.972666119199144,0.553,0.585,2.0017207275543e-22,"1","MtrunA17Chr3g0101721"
5.13145465761236e-194,0.919570311413406,0.814,0.681,1.02629093152247e-190,"1","MtPR10-2"
3.53760293135379e-213,0.916278638343009,0.916,0.809,7.07520586270758e-210,"1","MtrunA17Chr7g0218211"
2.28513587465747e-223,0.906375450517781,0.854,0.694,4.57027174931494e-220,"1","MtPrx10"
0,0.902261565992384,0.855,0.671,0,"1","MtrunA17Chr7g0239651"
0,0.893611758394229,0.852,0.719,0,"1","MtrunA17Chr5g0442771"
0,0.885694482612824,0.871,0.721,0,"1","MtT2SPI2"
3.75621663666416e-12,0.871529692726458,0.581,0.659,7.51243327332832e-09,"1","MtrunA17Chr7g0218181"
6.83960911591195e-189,0.867980258473972,0.888,0.761,1.36792182318239e-185,"1","MtrunA17Chr1g0165841"
4.65250493729225e-195,0.862030548496095,0.937,0.802,9.3050098745845e-192,"1","MtrunA17Chr1g0178301"
2.69660641119902e-196,0.837182295790105,0.921,0.785,5.39321282239804e-193,"1","MtrunA17Chr2g0281901"
0,0.832316800528829,0.836,0.715,0,"1","MtrunA17Chr8g0366591"
0,0.831952495758999,0.832,0.706,0,"1","MtrunA17Chr3g0107731"
1.12657486203958e-06,0.83112953747263,0.549,0.643,0.00225314972407915,"1","MtrunA17Chr1g0188761"
7.29385710791166e-198,0.818252444310735,0.86,0.739,1.45877142158233e-194,"1","MtrunA17Chr4g0064741"
7.81435997290928e-94,0.802943945151559,0.776,0.714,1.56287199458186e-90,"1","MtrunA17Chr8g0369791"
1.64329132126574e-134,0.79657774421283,0.659,0.561,3.28658264253149e-131,"1","MtrunA17Chr4g0055471"
3.54063850746679e-19,0.795846251661856,0.52,0.535,7.08127701493357e-16,"1","MtAKT1"
1.64993792103378e-34,0.794388050054732,0.698,0.686,3.29987584206756e-31,"1","MtrunA17Chr8g0342881"
0,0.79110452982648,0.895,0.758,0,"1","MtrunA17Chr4g0005131"
