gene,name,p_val,p_val_adj,pct_1,pct_2,pct_diff,avg_log2FC,clusterName,celltype_id,species,tissue,dataset
A4A49_05156,A4A49_05156,0.0,0.0,1.0,0.98,0.02,3.74653116530427,Epidermis,nicotiana_attenuata->PO:0009059->PO:0005679,nicotiana_attenuata,Corolla,SRP354482
A4A49_61524,A4A49_61524,0.0,0.0,0.974,0.433,0.541,2.51280487425094,Epidermis,nicotiana_attenuata->PO:0009059->PO:0005679,nicotiana_attenuata,Corolla,SRP354482
A4A49_08850,A4A49_08850,1.0786653330519e-187,1.50484600614071e-183,0.718,0.094,0.624,1.66655072958231,Epidermis,nicotiana_attenuata->PO:0009059->PO:0005679,nicotiana_attenuata,Corolla,SRP354482
A4A49_62328,A4A49_62328,5.25662413710746e-167,7.33351633367861e-163,0.597,0.042,0.555,1.9809989532773,Epidermis,nicotiana_attenuata->PO:0009059->PO:0005679,nicotiana_attenuata,Corolla,SRP354482
A4A49_13149,A4A49_13149,1.0541661711664001e-162,1.4706672253942398e-158,0.602,0.049,0.553,1.38300107945151,Epidermis,nicotiana_attenuata->PO:0009059->PO:0005679,nicotiana_attenuata,Corolla,SRP354482
A4A49_30297,A4A49_30297,7.63043731437258e-149,1.06452230972812e-144,0.539,0.034,0.505,1.86192130855947,Epidermis,nicotiana_attenuata->PO:0009059->PO:0005679,nicotiana_attenuata,Corolla,SRP354482
A4A49_36329,A4A49_36329,2.27951709861345e-132,3.18015430427562e-128,0.564,0.065,0.499,1.57954687570669,Epidermis,nicotiana_attenuata->PO:0009059->PO:0005679,nicotiana_attenuata,Corolla,SRP354482
A4A49_16794,A4A49_16794,2.0603534820635e-128,2.87439914282678e-124,0.516,0.045,0.471,1.47958304052728,Epidermis,nicotiana_attenuata->PO:0009059->PO:0005679,nicotiana_attenuata,Corolla,SRP354482
A4A49_22125,A4A49_22125,1.57542396198792e-121,2.19787396936935e-117,0.476,0.037,0.439,2.71937294699612,Epidermis,nicotiana_attenuata->PO:0009059->PO:0005679,nicotiana_attenuata,Corolla,SRP354482
A4A49_07374,A4A49_07374,3.41336881219431e-95,4.7619908298922904e-91,0.385,0.025,0.36,2.09696197902607,Epidermis,nicotiana_attenuata->PO:0009059->PO:0005679,nicotiana_attenuata,Corolla,SRP354482
A4A49_10886,A4A49_10886,5.53205407298527e-82,7.71776863722175e-78,0.331,0.016,0.315,1.19724509273211,Epidermis,nicotiana_attenuata->PO:0009059->PO:0005679,nicotiana_attenuata,Corolla,SRP354482
A4A49_18581,A4A49_18581,1.96596577209931e-78,2.74271884865575e-74,0.998,0.976,0.022,0.597423767875497,Epidermis,nicotiana_attenuata->PO:0009059->PO:0005679,nicotiana_attenuata,Corolla,SRP354482
A4A49_00123,A4A49_00123,2.42192012813866e-74,3.37882077076624e-70,0.533,0.152,0.381,0.770095613531369,Epidermis,nicotiana_attenuata->PO:0009059->PO:0005679,nicotiana_attenuata,Corolla,SRP354482
A4A49_08442,A4A49_08442,4.52726543010126e-66,6.31598800153426e-62,0.277,0.014,0.263,0.906461418551221,Epidermis,nicotiana_attenuata->PO:0009059->PO:0005679,nicotiana_attenuata,Corolla,SRP354482
